"Days Out","Avg Absolute Error","Forecast Count"
7.9,0,32
7.8,0,48
7.7,0,32
7.6,0,32
7.5,0,48
7.4,0,32
7.3,0.099,64
7.2,0.1,160
7.1,0.111,192
7,0.135,288
6.9,0.146,192
6.8,0.122,288
6.7,0.128,192
6.6,0.168,192
6.5,0.142,288
6.4,0.092,192
6.3,0.082,288
6.2,0.097,192
6.1,0.123,192
6,0.097,288
5.9,0.107,192
5.8,0.111,288
5.7,0.157,192
5.6,0.18,192
5.5,0.22,288
5.4,0.201,192
5.3,0.143,288
5.2,0.093,192
5.1,0.116,192
5,0.083,288
4.9,0.079,192
4.8,0.076,288
4.7,0.092,192
4.6,0.074,192
4.5,0.058,288
4.4,0.083,192
4.3,0.088,288
4.2,0.062,192
4.1,0.039,192
4,0.078,288
3.9,0.067,192
3.8,0.101,288
3.7,0.091,192
3.6,0.113,192
3.5,0.083,288
3.4,0.064,192
3.3,0.071,288
3.2,0.05,192
3.1,0.041,192
3,0.065,288
2.9,0.091,192
2.8,0.107,288
2.7,0.068,192
2.6,0.077,192
2.5,0.073,288
2.4,0.058,192
2.3,0.065,288
2.2,0.052,192
2.1,0.049,192
2,0.058,288
1.9,0.065,192
1.8,0.095,288
1.7,0.092,192
1.6,0.066,192
1.5,0.06,288
1.4,0.073,192
1.3,0.064,288
1.2,0.068,192
1.1,0.051,192
1,0.04,288
0.9,0.063,192
0.8,0.079,288
0.7,0.128,192
0.6,0.117,192
0.5,0.079,288
0.4,0.081,192
0.3,0.11,288
0.2,0.022,192
0.1,0,192
0,0,288
-0.1,0,160
-0.2,0,160
-0.3,0,240
-0.4,0,160
-0.5,0,240
-0.6,0,160
-0.7,0,160
-0.8,0,96
